"","Symbol"
"1","DDD"
"2","MMM"
"3","WBAI"
"4","WUBA"
"5","EGHT"
"6","AHC"
"7","ATEN"
"8","AAC"
"9","AIR"
"10","AAN"
"11","ABB"
"12","ABT"
"13","ABBV"
"14","ANF"
"15","GCH"
"16","ACP"
"17","JEQ"
"18","SGF"
"19","ABM"
"20","AKR"
"21","ACN"
"22","ACCO"
"23","ATV"
"24","ATU"
"25","AYI"
"26","GOLF"
"27","ADX"
"28","PEO"
"29","AGRO"
"30","ADNT"
"31","ADT"
"32","ATGE"
"33","AAP"
"34","ADSW"
"35","WMS"
"36","ASX"
"37","ASIX"
"38","AAV"
"39","AVK"
"40","AGC"
"41","LCM"
"42","ACM"
"43","ANW"
"44","AEB"
"45","AED"
"46","AEG"
"47","AEH"
"48","AEK"
"49","AER"
"50","HIVE"
"51","AJRD"
"52","AET"
"53","AMG"
"54","AFL"
"55","MITT"
"56","MITT^A"
"57","MITT^B"
"58","AGCO"
"59","A"
"60","AEM"
"61","ADC"
"62","AL"
"63","APD"
"64","AYR"
"65","AKS"
"66","ALP^Q"
"67","ALG"
"68","AGI"
"69","ALK"
"70","AIN"
"71","ALB"
"72","AA"
"73","ALEX"
"74","ALX"
"75","ARE"
"76","ARE^D"
"77","AQN"
"78","BABA"
"79","Y"
"80","ATI"
"81","ALLE"
"82","AGN"
"83","ALE"
"84","AKP"
"85","ADS"
"86","AFB"
"87","AOI"
"88","AWF"
"89","AB"
"90","LNT"
"91","CBH"
"92","NCV"
"93","NCZ"
"94","ACV"
"95","NIE"
"96","NFJ"
"97","ALSN"
"98","ALL"
"99","ALL^A"
"100","ALL^B"
"101","ALL^C"
"102","ALL^D"
"103","ALL^E"
"104","ALL^F"
"105","ALLY"
"106","ALLY^A"
"107","AGD"
"108","AWP"
"109","AOD"
"110","AYX"
"111","ATUS"
"112","MO"
"113","ACH"
"114","AMBR"
"115","ABEV"
"116","AMC"
"117","AEE"
"118","AMRC"
"119","AMOV"
"120","AMX"
"121","AAT"
"122","AXL"
"123","ACC"
"124","AEO"
"125","AEP"
"126","AEL"
"127","AXP"
"128","AFG"
"129","AFGE"
"130","AFGH"
"131","AMH"
"132","AMH^C"
"133","AMH^D"
"134","AMH^E"
"135","AMH^F"
"136","AMH^G"
"137","AIG"
"138","AIG.WS"
"139","AMID"
"140","ARL"
"141","ARA"
"142","AWR"
"143","AMT"
"144","AVD"
"145","AWK"
"146","COLD"
"147","APU"
"148","AMP"
"149","ABC"
"150","ANFI"
"151","AMN"
"152","AP"
"153","APH"
"154","AXR"
"155","AME"
"156","AFSI^A"
"157","AFSI^B"
"158","AFSI^C"
"159","AFSI^D"
"160","AFSI^E"
"161","AFSI^F"
"162","AFSS"
"163","AFST"
"164","AEUA"
"165","APC"
"166","ANDV"
"167","ANDX"
"168","AU"
"169","BUD"
"170","AXE"
"171","NLY"
"172","NLY^C"
"173","NLY^D"
"174","NLY^F"
"175","NLY^G"
"176","AMGP"
"177","AM"
"178","AR"
"179","ANTM"
"180","ANTX"
"181","ANH"
"182","ANH^A"
"183","ANH^B"
"184","ANH^C"
"185","AON"
"186","APA"
"187","AIV"
"188","AIV^A"
"189","ARI"
"190","ARI^C"
"191","APO"
"192","APO^A"
"193","AIY"
"194","AFT"
"195","AIF"
"196","APLE"
"197","AIT"
"198","ATR"
"199","APTV"
"200","WTR"
"201","AQ"
"202","WAAS"
"203","ARMK"
"204","ABR"
"205","ABR^A"
"206","ABR^B"
"207","ABR^C"
"208","ABRN.CL"
"209","ARC"
"210","MT"
"211","ARCH"
"212","ADM"
"213","AROC"
"214","ARNC"
"215","ARCO"
"216","RCUS"
"217","ARD"
"218","ASC"
"219","AFC"
"220","ACRE"
"221","ARDC"
"222","ARES"
"223","ARES^A"
"224","AGX"
"225","ANET"
"226","AI"
"227","AI^B"
"228","AIC"
"229","AIW"
"230","AHH"
"231","ARR"
"232","ARR^A"
"233","ARR^B"
"234","AFI"
"235","AWI"
"236","ARW"
"237","AJG"
"238","APAM"
"239","ASA"
"240","ABG"
"241","AHP"
"242","AHP^B"
"243","AHT"
"244","AHT^D"
"245","AHT^F"
"246","AHT^G"
"247","AHT^H"
"248","AHT^I"
"249","ASH"
"250","APB"
"251","GRR"
"252","ASPN"
"253","AHL"
"254","AHL^C"
"255","AHL^D"
"256","ASB"
"257","ASB^C"
"258","ASB^D"
"259","AC"
"260","AIZ"
"261","AIZP"
"262","AGO"
"263","AGO^B"
"264","AGO^E"
"265","AGO^F"
"266","AZN"
"267","HOME"
"268","T"
"269","TBB"
"270","ATTO"
"271","ATH"
"272","ATKR"
"273","AT"
"274","ATO"
"275","AUO"
"276","ATHM"
"277","ALV"
"278","AN"
"279","AZO"
"280","AVB"
"281","AGR"
"282","AVYA"
"283","AVY"
"284","AVH"
"285","AVA"
"286","AVT"
"287","AVP"
"288","AVX"
"289","AXTA"
"290","AXS"
"291","AXS^D"
"292","AXS^E"
"293","AZUL"
"294","AZRE"
"295","AZZ"
"296","BGS"
"297","BW"
"298","BGH"
"299","BMI"
"300","BHGE"
"301","BBN"
"302","BLL"
"303","BANC"
"304","BANC^C"
"305","BANC^D"
"306","BANC^E"
"307","BBVA"
"308","BBD"
"309","BBDO"
"310","BCH"
"311","BLX"
"312","BSMX"
"313","BSBR"
"314","BSAC"
"315","SAN"
"316","SAN^A"
"317","SAN^B"
"318","SAN^C"
"319","SAN^I"
"320","CIB"
"321","BXS"
"322","BAC"
"323","BAC.WS.A"
"324","BAC.WS.B"
"325","BAC^A"
"326","BAC^C"
"327","BAC^D"
"328","BAC^E"
"329","BAC^I"
"330","BAC^L"
"331","BAC^W"
"332","BAC^Y"
"333","BML^G"
"334","BML^H"
"335","BML^I"
"336","BML^J"
"337","BML^L"
"338","BOH"
"339","BMO"
"340","NTB"
"341","BK"
"342","BK^C"
"343","BNS"
"344","BKU"
"345","BCS"
"346","BCS^D"
"347","MCI"
"348","MPV"
"349","BNED"
"350","BKS"
"351","B"
"352","ABX"
"353","BAS"
"354","BAX"
"355","BTE"
"356","BBT"
"357","BBT^D"
"358","BBT^E"
"359","BBT^F"
"360","BBT^G"
"361","BBT^H"
"362","BFR"
"363","BBX"
"364","BCE"
"365","BZH"
"366","BDX"
"367","BDXA"
"368","BDC"
"369","BDC^B"
"370","BXE"
"371","BEL"
"372","BMS"
"373","BHE"
"374","BRK.A"
"375","BRK.B"
"376","BHLB"
"377","BERY"
"378","BBY"
"379","BSTI"
"380","BGCA"
"381","BHP"
"382","BBL"
"383","BIG"
"384","BH"
"385","BBG"
"386","BHVN"
"387","BIO"
"388","BIO.B"
"389","BITA"
"390","BKH"
"391","BKHU"
"392","BKI"
"393","BSM"
"394","BB"
"395","BGIO"
"396","BJZ"
"397","BFZ"
"398","CII"
"399","BHK"
"400","HYT"
"401","BTZ"
"402","DSU"
"403","BGR"
"404","BDJ"
"405","EGF"
"406","FRA"
"407","BFO"
"408","BGT"
"409","BOE"
"410","BME"
"411","BAF"
"412","BKT"
"413","BGY"
"414","BKN"
"415","BTA"
"416","BIT"
"417","MUI"
"418","MNE"
"419","MUA"
"420","BPK"
"421","BKK"
"422","BBK"
"423","BBF"
"424","BYM"
"425","BFK"
"426","BTT"
"427","MEN"
"428","MUC"
"429","MUH"
"430","MHD"
"431","MFL"
"432","MUJ"
"433","MHN"
"434","MUE"
"435","MUS"
"436","MVT"
"437","MYC"
"438","MCA"
"439","MYD"
"440","MYF"
"441","MFT"
"442","MIY"
"443","MYJ"
"444","MYN"
"445","MPA"
"446","MQT"
"447","MYI"
"448","MQY"
"449","BNJ"
"450","BNY"
"451","BLH"
"452","BQH"
"453","BSE"
"454","BCX"
"455","BST"
"456","BSD"
"457","BUI"
"458","BLK"
"459","BGB"
"460","BGX"
"461","BSL"
"462","APRN"
"463","BCRH"
"464","BXG"
"465","BXC"
"466","BWP"
"467","BA"
"468","BCC"
"469","BCEI"
"470","BOOT"
"471","BAH"
"472","BWA"
"473","SAM"
"474","BXP"
"475","BXP^B"
"476","BSX"
"477","BOX"
"478","BYD"
"479","BPMP"
"480","BP"
"481","BPT"
"482","BRC"
"483","BDN"
"484","BWG"
"485","LND"
"486","BAK"
"487","BRFS"
"488","BPI"
"489","BGG"
"490","BFAM"
"491","BEDU"
"492","EAT"
"493","BCO"
"494","BMY"
"495","BRS"
"496","BTI"
"497","BRX"
"498","BR"
"499","BKD"
"500","BAM"
"501","BBU"
"502","DTLA^"
"503","INF"
"504","BIP"
"505","RA"
"506","BEP"
"507","BRO"
"508","BF.A"
"509","BF.B"
"510","BRT"
"511","BC"
"512","BT"
"513","BPL"
"514","BKE"
"515","BVN"
"516","BBW"
"517","BG"
"518","BURL"
"519","BWXT"
"520","BY"
"521","CJ"
"522","GYB"
"523","PFH"
"524","CABO"
"525","CBT"
"526","COG"
"527","CACI"
"528","WHD"
"529","CADE"
"530","CAE"
"531","CAI"
"532","CAL"
"533","CRC"
"534","CWT"
"535","CALX"
"536","ELY"
"537","CPE"
"538","CPE^A"
"539","CBM"
"540","CPT"
"541","CCJ"
"542","CPB"
"543","CWH"
"544","GOOS"
"545","CM"
"546","CNI"
"547","CNQ"
"548","CP"
"549","CNNE"
"550","CAJ"
"551","CMD"
"552","COF"
"553","COF.WS"
"554","COF^C"
"555","COF^D"
"556","COF^F"
"557","COF^G"
"558","COF^H"
"559","COF^P"
"560","CSU"
"561","BXMT"
"562","CIC"
"563","CIC.U"
"564","CIC.WS"
"565","CMO"
"566","CMO^E"
"567","CRR"
"568","CAH"
"569","CRCM"
"570","CSL"
"571","KMX"
"572","CCL"
"573","CUK"
"574","CRS"
"575","CSV"
"576","CARS"
"577","CRI"
"578","CVNA"
"579","CSLT"
"580","CTLT"
"581","CTT           "
"582","CAT"
"583","CATO"
"584","CBZ"
"585","CBL"
"586","CBL^D"
"587","CBL^E"
"588","CBO"
"589","IGR"
"590","CBG"
"591","CBS"
"592","CBS.A"
"593","CBX"
"594","FUN"
"595","CDR"
"596","CDR^B"
"597","CDR^C"
"598","CGI"
"599","CE"
"600","CLS"
"601","CEL"
"602","CPAC"
"603","CX"
"604","CVE"
"605","CNC"
"606","CEN"
"607","CNP"
"608","EBR"
"609","EBR.B"
"610","CEPU"
"611","CCS"
"612","CTL"
"613","CF"
"614","CGG"
"615","GIB"
"616","ECOM          "
"617","CRL"
"618","CLDT"
"619","CMCM"
"620","CHGG"
"621","CHE"
"622","CC"
"623","CHMI"
"624","CHMI^A"
"625","CHK"
"626","CHK^D"
"627","CHKR"
"628","CHSP"
"629","CPK"
"630","CVX"
"631","CBI"
"632","CHS"
"633","CIM"
"634","CIM^A"
"635","CIM^B"
"636","CO"
"637","DL"
"638","CEA"
"639","CHN"
"640","CGA"
"641","LFC"
"642","CHL"
"643","BORN"
"644","COE"
"645","SNP"
"646","XRF"
"647","ZNH"
"648","CHA"
"649","CHU"
"650","CYD"
"651","ZX"
"652","CMG"
"653","CHH"
"654","CBK"
"655","CB"
"656","CHT"
"657","CHD"
"658","CIEN"
"659","CI"
"660","XEC"
"661","CBB"
"662","CBB^B"
"663","CNK"
"664","CINR"
"665","CIR"
"666","CISN"
"667","CIT"
"668","BLW"
"669","C"
"670","C.WS.A"
"671","C^C"
"672","C^J"
"673","C^K"
"674","C^L"
"675","C^N"
"676","C^S"
"677","CFG"
"678","CIA"
"679","CIO"
"680","CIO^A"
"681","CVEO"
"682","CIVI"
"683","CLH"
"684","CCO"
"685","CBA           "
"686","CEM"
"687","EMO"
"688","CTR"
"689","CLW"
"690","CLF"
"691","CLPR"
"692","CLX"
"693","CLD"
"694","CLDR"
"695","CMS"
"696","CMS^B"
"697","CMSA"
"698","CNA"
"699","CNHI"
"700","CNO"
"701","CEO"
"702","CNXM"
"703","CEIX"
"704","CNX"
"705","KOF"
"706","KO"
"707","CCE"
"708","CDE"
"709","FOF"
"710","INB"
"711","CNS"
"712","UTF"
"713","LDP"
"714","MIE"
"715","RQI"
"716","RNP"
"717","PSF"
"718","RFI"
"719","CFX"
"720","CL"
"721","CXE"
"722","CIF"
"723","CXH"
"724","CMU"
"725","CLNC"
"726","CLNS"
"727","CLNS^B"
"728","CLNS^D"
"729","CLNS^E"
"730","CLNS^G"
"731","CLNS^H"
"732","CLNS^I"
"733","CLNS^J"
"734","CXP"
"735","STK"
"736","CCZ"
"737","CMA"
"738","CMA.WS"
"739","FIX"
"740","CMC"
"741","CBU"
"742","CYH"
"743","CHCT"
"744","CIG"
"745","CIG.C"
"746","CBD"
"747","SBS"
"748","ELP"
"749","CCU"
"750","CODI"
"751","CODI^A"
"752","CMP"
"753","CRK"
"754","CAG"
"755","CXO"
"756","CCM"
"757","CNDT"
"758","COP"
"759","CCR"
"760","ED"
"761","STZ"
"762","STZ.B"
"763","CSTM"
"764","TCS"
"765","CBPX"
"766","CLR"
"767","VLRS"
"768","CVG"
"769","CTB"
"770","CPS"
"771","CPA"
"772","CLB"
"773","CXW"
"774","CLGX"
"775","CORR"
"776","CORR^A"
"777","COR"
"778","GLW"
"779","CAAP"
"780","GYC"
"781","CCT"
"782","OFC"
"783","CZZ"
"784","CMRE"
"785","CMRE^B"
"786","CMRE^C"
"787","CMRE^D"
"788","CMRE^E"
"789","COTV"
"790","COT"
"791","COTY"
"792","CFC^B"
"793","CUZ"
"794","CVA"
"795","CPF"
"796","CPL"
"797","CR"
"798","CRD.A"
"799","CRD.B"
"800","BAP"
"801","CS"
"802","CPG"
"803","CEQP"
"804","CRH"
"805","CRT"
"806","CAPL"
"807","CCI"
"808","CCI^A"
"809","CCK"
"810","CRY"
"811","CSRA"
"812","CSS"
"813","CTS"
"814","CUBE"
"815","CUB"
"816","CFR"
"817","CFR^A"
"818","CULP"
"819","CMI"
"820","CURO"
"821","CW"
"822","SRF"
"823","SRV"
"824","SZC"
"825","SZC~"
"826","CUBI"
"827","CUBI^C"
"828","CUBI^D"
"829","CUBI^E"
"830","CUBI^F"
"831","CUBS"
"832","CVI"
"833","UAN"
"834","CVRR"
"835","CVS"
"836","CELP"
"837","CYS"
"838","CYS^A"
"839","CYS^B"
"840","DHI"
"841","DAN"
"842","DHR"
"843","DAC"
"844","DQ"
"845","DRI"
"846","DAR"
"847","DVA"
"848","DCP"
"849","DCT"
"850","DDR"
"851","DDR^A"
"852","DDR^J"
"853","DDR^K"
"854","DF"
"855","DECK"
"856","DE"
"857","DEX"
"858","DDF"
"859","DKL"
"860","DK"
"861","DVMT"
"862","DLPH"
"863","DAL"
"864","DLX"
"865","DNR"
"866","DESP"
"867","DKT"
"868","DB"
"869","DXB"
"870","DVN"
"871","DHX"
"872","DHT"
"873","DEO"
"874","DO"
"875","DRH"
"876","DSX"
"877","DSX^B"
"878","DSXN"
"879","DKS"
"880","DBD"
"881","DLR"
"882","DLR^C"
"883","DLR^G"
"884","DLR^H"
"885","DLR^I"
"886","DLR^J"
"887","DDS"
"888","DDT"
"889","DIN"
"890","DPLO"
"891","DFS"
"892","DHCP"
"893","DNI"
"894","DLB"
"895","DG"
"896","DM"
"897","D"
"898","DCUD"
"899","DRUA"
"900","DPZ"
"901","UFS"
"902","DCI"
"903","DFIN"
"904","LPG"
"905","DSL"
"906","DBL"
"907","PLOW"
"908","DEI"
"909","DOV"
"910","DDE"
"911","DVD"
"912","DWDP"
"913","DPS"
"914","RDY"
"915","DRD"
"916","DCF"
"917","DHF"
"918","DMB"
"919","DSM"
"920","LEO"
"921","DRQ"
"922","DS"
"923","DS^B"
"924","DS^C"
"925","DS^D"
"926","DST"
"927","DSW"
"928","DTE"
"929","DTJ"
"930","DTQ"
"931","DTV"
"932","DTW"
"933","DTY"
"934","DCO"
"935","DPG"
"936","DSE"
"937","DNP"
"938","DTF"
"939","DUC"
"940","DUK"
"941","DUKH"
"942","DRE"
"943","DNB"
"944","DXC"
"945","DY"
"946","DLNG"
"947","DLNG^A"
"948","DYN"
"949","DYN.WS.A"
"950","DYNC"
"951","DX"
"952","DX^A"
"953","DX^B"
"954","DD^A"
"955","DD^B"
"956","ELF"
"957","SSP"
"958","EGIF"
"959","EXP"
"960","ECC           "
"961","ECCA"
"962","ECCB"
"963","ECCY"
"964","ECCZ"
"965","ESTE"
"966","DEA"
"967","EGP"
"968","EMN"
"969","KODK"
"970","KODK.WS"
"971","KODK.WS.A"
"972","ETN"
"973","ETV"
"974","ETW"
"975","EV"
"976","EOI"
"977","EOS"
"978","EFT"
"979","EFL"
"980","EFF"
"981","EHT"
"982","ETX           "
"983","EOT"
"984","EVN"
"985","ETJ"
"986","EFR"
"987","EVF"
"988","EVG"
"989","EVT"
"990","ETO"
"991","EXD"
"992","ETG"
"993","ETB"
"994","ETY"
"995","EXG"
"996","ECT"
"997","ECR"
"998","ECL"
"999","EC"
"1000","EIX"
"1001","EDR"
"1002","EW"
"1003","EHIC"
"1004","EP^C"
"1005","EE"
"1006","EGO"
"1007","ELVT"
"1008","LLY"
"1009","ELLI"
"1010","EFC"
"1011","EARN"
"1012","AKO.A"
"1013","AKO.B"
"1014","ERJ"
"1015","EME"
"1016","EEX"
"1017","EMES"
"1018","EBS"
"1019","EMR"
"1020","ESRT"
"1021","EIG"
"1022","EDN"
"1023","ENBL"
"1024","EEQ"
"1025","EEP"
"1026","ENB"
"1027","ECA"
"1028","EHC"
"1029","EXK"
"1030","NDRO"
"1031","ENIA"
"1032","ENIC"
"1033","EOCC"
"1034","EGN"
"1035","ENR"
"1036","EPC"
"1037","ETE"
"1038","ETP"
"1039","ERF"
"1040","ENS"
"1041","EGL"
"1042","E"
"1043","ENLK"
"1044","ENLC"
"1045","EBF"
"1046","ENVA"
"1047","NPO"
"1048","ESV"
"1049","ETM"
"1050","EAB"
"1051","EAE"
"1052","EAI"
"1053","ETR"
"1054","ELC"
"1055","ELJ"
"1056","ELU"
"1057","EMP"
"1058","ENJ"
"1059","ENO"
"1060","EZT"
"1061","EPD"
"1062","EVC"
"1063","ENV"
"1064","EVHC"
"1065","EVA"
"1066","ENZ"
"1067","EOG"
"1068","EPE"
"1069","EPAM"
"1070","EPR"
"1071","EPR^C"
"1072","EPR^E"
"1073","EPR^G"
"1074","EQT"
"1075","EQGP"
"1076","EQM"
"1077","EFX"
"1078","EQC"
"1079","EQC^D"
"1080","ELS"
"1081","EQR"
"1082","EQS"
"1083","ERA"
"1084","EROS"
"1085","ESE"
"1086","ESNT"
"1087","ESS"
"1088","EL"
"1089","ESL"
"1090","ETH"
"1091","EURN"
"1092","EEA"
"1093","EVR"
"1094","RE"
"1095","EVRI"
"1096","ES"
"1097","EVTC"
"1098","EVH"
"1099","AQUA"
"1100","EXC"
"1101","EXPR"
"1102","STAY"
"1103","EXTN"
"1104","EXR"
"1105","XOM"
"1106","FNB"
"1107","FNB^E"
"1108","FN"
"1109","FDS"
"1110","FICO"
"1111","FMSA"
"1112","SFUN"
"1113","FPI"
"1114","FPI^B"
"1115","FBK"
"1116","FFG"
"1117","FCB"
"1118","AGM"
"1119","AGM.A"
"1120","AGM^A"
"1121","AGM^B"
"1122","AGM^C"
"1123","FRT"
"1124","FRT^C"
"1125","FSS"
"1126","FII"
"1127","FMN"
"1128","FDX"
"1129","RACE"
"1130","FGP"
"1131","FOE"
"1132","FG"
"1133","FG.WS"
"1134","FCAU"
"1135","FBR"
"1136","FNF"
"1137","FIS"
"1138","FMO"
"1139","FAC"
"1140","FAF"
"1141","FBP"
"1142","FCFS"
"1143","FCF"
"1144","FDC"
"1145","FHN"
"1146","FHN^A"
"1147","FR"
"1148","AG"
"1149","FRC"
"1150","FRC^D"
"1151","FRC^E"
"1152","FRC^F"
"1153","FRC^G"
"1154","FRC^H"
"1155","FFA"
"1156","FMY"
"1157","FDEU"
"1158","FIF"
"1159","FSD"
"1160","FPF"
"1161","FEI           "
"1162","FPL"
"1163","FIV"
"1164","FCT"
